cache_size,alphabet_size,cache_ratio,avg_hit_rate,avg_miss_rate,avg_runtime,avg_memory_usage,theoretical_hit_rate,hit_rate_difference
1,100,0.01,0.010112,0.989888,0.10946187973022461,52.0,0.01,0.00011199999999999925
5,100,0.05,0.049710000000000004,0.95029,0.5951985359191895,260.0,0.05,0.0002899999999999986
10,100,0.1,0.09895400000000001,0.901046,0.5343944549560546,520.0,0.1,0.0010459999999999914
20,100,0.2,0.199888,0.8001119999999999,0.4760289192199707,1040.0,0.2,0.00011200000000000099
40,100,0.4,0.39979200000000004,0.600208,0.451015567779541,2080.0,0.4,0.00020799999999998597
60,100,0.6,0.598966,0.401034,0.3801119327545166,3120.0,0.6,0.0010339999999999794
80,100,0.8,0.7984739999999999,0.2015260000000001,0.1647663116455078,4160.0,0.8,0.0015260000000001384
100,100,1.0,0.999,0.0010000000000000009,0.04921226501464844,5200.0,1.0,0.0010000000000000009
5,500,0.01,0.010064,0.989936,0.2346338748931885,260.0,0.01,6.399999999999982e-05
25,500,0.05,0.05064599999999999,0.949354,0.23732209205627441,1300.0,0.05,0.0006459999999999869
50,500,0.1,0.09981999999999999,0.90018,0.24074382781982423,2600.0,0.1,0.00018000000000001348
100,500,0.2,0.199546,0.800454,0.2306522846221924,5200.0,0.2,0.00045400000000000995
200,500,0.4,0.399968,0.600032,0.1573024272918701,10400.0,0.4,3.2000000000032e-05
300,500,0.6,0.599398,0.400602,0.12205872535705567,15600.0,0.6,0.0006019999999999914
400,500,0.8,0.7973800000000001,0.2026199999999999,0.09044890403747559,20800.0,0.8,0.0026199999999999557
500,500,1.0,0.9949999999999999,0.0050000000000001155,0.044963407516479495,26000.0,1.0,0.0050000000000001155
10,1000,0.01,0.010056,0.989944,0.1490530014038086,520.0,0.01,5.6000000000000494e-05
50,1000,0.05,0.050056,0.949944,0.14200963973999023,2600.0,0.05,5.6000000000000494e-05
100,1000,0.1,0.099922,0.900078,0.15420727729797362,5200.0,0.1,7.800000000000862e-05
200,1000,0.2,0.19938799999999998,0.800612,0.14315552711486818,10400.0,0.2,0.0006120000000000292
400,1000,0.4,0.399044,0.600956,0.12586665153503418,20800.0,0.4,0.0009560000000000124
600,1000,0.6,0.597046,0.40295400000000003,0.1004002571105957,31200.0,0.6,0.002954000000000012
800,1000,0.8,0.796088,0.20391199999999998,0.07772278785705566,41600.0,0.8,0.003912000000000027
1000,1000,1.0,0.99,0.010000000000000009,0.05412015914916992,52000.0,1.0,0.010000000000000009
50,5000,0.01,0.009994,0.990006,0.12560634613037108,2600.0,0.01,6.000000000000796e-06
250,5000,0.05,0.04985,0.95015,0.12241721153259277,13000.0,0.05,0.0001500000000000043
500,5000,0.1,0.099386,0.900614,0.12198429107666016,26000.0,0.1,0.0006140000000000034
1000,5000,0.2,0.19965,0.80035,0.11358580589294434,52000.0,0.2,0.00035000000000001696
2000,5000,0.4,0.39533000000000007,0.6046699999999999,0.1209632396697998,104000.0,0.4,0.004669999999999952
3000,5000,0.6,0.587298,0.412702,0.09962682723999024,156000.0,0.6,0.012701999999999991
4000,5000,0.8,0.776114,0.22388600000000003,0.076483154296875,208000.0,0.8,0.023886000000000074
5000,5000,1.0,0.95,0.050000000000000044,0.05810461044311523,260000.0,1.0,0.050000000000000044
